Period,Receipts,Outlays,Deficit/Surplus (-),Borrowing from the Public,Reduction of Operating Cash,By Other Means,,,,,,
Oct-00,"r135,836","r147,156","11,321",,,,,,,,,
Nov-00,"125,666","149,356","23,690",,,,,,,,,
Dec-00,"200,489","167,823","-32,666",,,,,,,,,
Jan-01,"219,215","142,836","-76,379",,,,,,,,,
Feb-01,"110,481","158,649","48,168",,,,,,,,,
Mar-01,"r130,074","r180,736","50,662",,,,,,,,,
Apr-01,"331,796","141,999","-189,796",,,,,,,,,
May-01,"r125,590","r153,508","27,919",,,,,,,,,
Jun-01,"202,887","171,025","-31,862",,,,,,,,,
Jul-01,"127,842","r125,022","-2,820",,,,,,,,,
Aug-01,"122,559","202,549","79,990",,,,,,,,,
Sep-01,"r158,611","r123,110","-35,501",,,,,,,,,
Oct-01,"157,163","r164,819","7,656",,,,,,,,,
Nov-01,"121,233","175,500","54,267",,,,,,,,,
Dec-01,"187,914","161,347","-26,567",,,,,,,,,
Jan-02,"203,452","r159,723","-43,729",,,,,,,,,
Feb-02,"97,962","174,018","76,056",,,,,,,,,
Mar-02,"111,220","175,458","64,238",,,,,,,,,
Apr-02,"237,426","170,257","-67,170",,,,,,,,,
May-02,"102,496","183,127","80,631",,,,,,,,,
Jun-02,"182,633","153,562","-29,071",,,,,,,,,
Jul-02,"134,409","163,568","29,159",,,,,,,,,
Aug-02,"124,619","179,328","54,709",,,,,,,,,
Sep-02,"r192,698","r150,310","-42,388",,,,,,,,,
Oct-02,"r124,543","r178,615","54,072",,,,,,,,,
Nov-02,"r120,017","r178,901","58,883",,,,,,,,,
Dec-02,"r182,787","178,069","-4,719",,,,,,,,,
Jan-03,"r187,884","r177,251","-10,633",,,,,,,,,
Feb-03,"r89,477","r186,140","96,663",,,,,,,,,
Mar-03,"r120,358","r179,234","58,877",,,,,,,,,
Apr-03,"r231,160","r180,094","-51,066",,,,,,,,,
May-03,"r103,411","r192,278","88,867",,,,,,,,,
Jun-03,"r193,043","r171,814","-21,230",,,,,,,,,
Jul-03,"r123,551","r177,792","54,240",,,,,,,,,
Aug-03,"r114,243","r190,830","76,587",,,,,,,,,
Sep-03,"r191,632","r168,229","-23,402",,,,,,,,,
Oct-03,"r135,825","r205,370","69,545",,,,,,,,,
Nov-03,"118,207","161,179","r42,971",,,,,,,,,
Dec-03,"186,730","r204,370","r17,640",,,,,,,,,
Jan-04,"r185,169","r186,802","r1,633",,,,,,,,,
Feb-04,"r92,009","r188,709","r96,701",,,,,,,,,
Mar-04,"r132,425","r205,337","r72,913",,,,,,,,,
Apr-04,"220,091","r202,513","r-17,578",,,,,,,,,
May-04,"115,450","r177,913","r62,463",,,,,,,,,
Jun-04,"214,382","r195,258","r-19,124",,,,,,,,,
Jul-04,"134,415","203,575","69,160",,,,,,,,,
Aug-04,"137,729","r178,861","r41,132",,,,,,,,,
Sep-04,"r207,351","r182,740","r-24,611",,,,,,,,,
Oct-04,"r136,896","r193,514","r56,618",,,,,,,,,
Nov-04,"r134,547","r191,717","r57,170",,,,,,,,,
Dec-04,"215,749","218,310","2,561",,,,,,,,,
Jan-05,"202,217","r194,111","r-8,106",,,,,,,,,
Feb-05,"r100,871","r214,660","r113,789",,,,,,,,,
Mar-05,"r148,759","r220,483","r71,724",,,,,,,,,
Apr-05,"r277,614","r219,690","r-57,924",,,,,,,,,
May-05,"152,731","r188,920","r36,190",,,,,,,,,
Jun-05,"r234,808","r212,335","r-22,473",,,,,,,,,
Jul-05,"142,092","r195,487","r53,395",,,,,,,,,
Aug-05,"155,438","r206,474","r51,036",,,,,,,,,
Sep-05,"251,628","r216,394","r-35,234",,,,,,,,,
Oct-05,"149,488","r196,764","r47,277",,,,,,,,,
Nov-05,"138,840","r221,911","r83,072",,,,,,,,,
Dec-05,"241,883","r230,916","r-10,967",,,,,,,,,
Jan-06,"230,010","r209,045","r-20,964",,,,,,,,,
Feb-06,"112,853","r232,091","r119,237",,,,,,,,,
Mar-06,"164,563","r249,843","r85,281",,,,,,,,,
Apr-06,"315,090","r196,249","r-118,841",,,,,,,,,
May-06,"192,657","r235,564","r42,907",,,,,,,,,
Jun-06,"264,355","r243,838","r-20,517",,,,,,,,,
Jul-06,"159,761","r192,925","r33,164",,,,,,,,,
Aug-06,"153,878","r218,595","r64,717",,,,,,,,,
